Periodo,Industria,Genero,Valor
ene-96,Agricultura y ganadería,Mujeres,380.2
feb-96,Agricultura y ganadería,Mujeres,406.8
mar-96,Agricultura y ganadería,Mujeres,399.7
abr-96,Agricultura y ganadería,Mujeres,375.9
may-96,Agricultura y ganadería,Mujeres,395.6
jun-96,Agricultura y ganadería,Mujeres,554
jul-96,Agricultura y ganadería,Mujeres,410.1
ago-96,Agricultura y ganadería,Mujeres,410.6
sep-96,Agricultura y ganadería,Mujeres,410
oct-96,Agricultura y ganadería,Mujeres,414.4
nov-96,Agricultura y ganadería,Mujeres,401.7
dic-96,Agricultura y ganadería,Mujeres,550
ene-97,Agricultura y ganadería,Mujeres,398.5
feb-97,Agricultura y ganadería,Mujeres,417.5
mar-97,Agricultura y ganadería,Mujeres,410
abr-97,Agricultura y ganadería,Mujeres,405
may-97,Agricultura y ganadería,Mujeres,410.1
jun-97,Agricultura y ganadería,Mujeres,559.9
jul-97,Agricultura y ganadería,Mujeres,417.7
ago-97,Agricultura y ganadería,Mujeres,415.4
sep-97,Agricultura y ganadería,Mujeres,423.1
oct-97,Agricultura y ganadería,Mujeres,432.9
nov-97,Agricultura y ganadería,Mujeres,409.9
dic-97,Agricultura y ganadería,Mujeres,555.1
ene-98,Agricultura y ganadería,Mujeres,396.7
feb-98,Agricultura y ganadería,Mujeres,424.5
mar-98,Agricultura y ganadería,Mujeres,430.2
abr-98,Agricultura y ganadería,Mujeres,426.7
may-98,Agricultura y ganadería,Mujeres,419
jun-98,Agricultura y ganadería,Mujeres,591.3
jul-98,Agricultura y ganadería,Mujeres,418.2
ago-98,Agricultura y ganadería,Mujeres,421.3
sep-98,Agricultura y ganadería,Mujeres,423.1
oct-98,Agricultura y ganadería,Mujeres,422.7
nov-98,Agricultura y ganadería,Mujeres,404.8
dic-98,Agricultura y ganadería,Mujeres,567
ene-99,Agricultura y ganadería,Mujeres,405.3
feb-99,Agricultura y ganadería,Mujeres,424.8
mar-99,Agricultura y ganadería,Mujeres,435.1
abr-99,Agricultura y ganadería,Mujeres,411
may-99,Agricultura y ganadería,Mujeres,410.4
jun-99,Agricultura y ganadería,Mujeres,577.9
jul-99,Agricultura y ganadería,Mujeres,411.2
ago-99,Agricultura y ganadería,Mujeres,418.9
sep-99,Agricultura y ganadería,Mujeres,414.7
oct-99,Agricultura y ganadería,Mujeres,413.1
nov-99,Agricultura y ganadería,Mujeres,407.7
dic-99,Agricultura y ganadería,Mujeres,556.9
ene-00,Agricultura y ganadería,Mujeres,401.2
feb-00,Agricultura y ganadería,Mujeres,419.8
mar-00,Agricultura y ganadería,Mujeres,409.2
abr-00,Agricultura y ganadería,Mujeres,383.3
may-00,Agricultura y ganadería,Mujeres,395.9
jun-00,Agricultura y ganadería,Mujeres,533.4
jul-00,Agricultura y ganadería,Mujeres,384.1
ago-00,Agricultura y ganadería,Mujeres,388.5
sep-00,Agricultura y ganadería,Mujeres,392.8
oct-00,Agricultura y ganadería,Mujeres,405.9
nov-00,Agricultura y ganadería,Mujeres,396
dic-00,Agricultura y ganadería,Mujeres,541.7
ene-01,Agricultura y ganadería,Mujeres,373.2
feb-01,Agricultura y ganadería,Mujeres,420.4
mar-01,Agricultura y ganadería,Mujeres,409
abr-01,Agricultura y ganadería,Mujeres,402.2
may-01,Agricultura y ganadería,Mujeres,392.2
jun-01,Agricultura y ganadería,Mujeres,533.2
jul-01,Agricultura y ganadería,Mujeres,391.9
ago-01,Agricultura y ganadería,Mujeres,395.3
sep-01,Agricultura y ganadería,Mujeres,397.4
oct-01,Agricultura y ganadería,Mujeres,405
nov-01,Agricultura y ganadería,Mujeres,396.1
dic-01,Agricultura y ganadería,Mujeres,541.4
ene-02,Agricultura y ganadería,Mujeres,401.8
feb-02,Agricultura y ganadería,Mujeres,443
mar-02,Agricultura y ganadería,Mujeres,423.6
abr-02,Agricultura y ganadería,Mujeres,403.1
may-02,Agricultura y ganadería,Mujeres,405
jun-02,Agricultura y ganadería,Mujeres,562
jul-02,Agricultura y ganadería,Mujeres,422.8
ago-02,Agricultura y ganadería,Mujeres,438.7
sep-02,Agricultura y ganadería,Mujeres,461.2
oct-02,Agricultura y ganadería,Mujeres,464.8
nov-02,Agricultura y ganadería,Mujeres,462.5
dic-02,Agricultura y ganadería,Mujeres,634.2
ene-03,Agricultura y ganadería,Mujeres,508.3
feb-03,Agricultura y ganadería,Mujeres,573.9
mar-03,Agricultura y ganadería,Mujeres,553.8
abr-03,Agricultura y ganadería,Mujeres,499.3
may-03,Agricultura y ganadería,Mujeres,519.8
jun-03,Agricultura y ganadería,Mujeres,704.5
jul-03,Agricultura y ganadería,Mujeres,566
ago-03,Agricultura y ganadería,Mujeres,566.5
sep-03,Agricultura y ganadería,Mujeres,598.8
oct-03,Agricultura y ganadería,Mujeres,587.8
nov-03,Agricultura y ganadería,Mujeres,583.9
dic-03,Agricultura y ganadería,Mujeres,818.4
ene-04,Agricultura y ganadería,Mujeres,631.8
feb-04,Agricultura y ganadería,Mujeres,705.4
mar-04,Agricultura y ganadería,Mujeres,689.5
abr-04,Agricultura y ganadería,Mujeres,648.6
may-04,Agricultura y ganadería,Mujeres,641.3
jun-04,Agricultura y ganadería,Mujeres,879.1
jul-04,Agricultura y ganadería,Mujeres,653.7
ago-04,Agricultura y ganadería,Mujeres,651.2
sep-04,Agricultura y ganadería,Mujeres,655.3
oct-04,Agricultura y ganadería,Mujeres,632.3
nov-04,Agricultura y ganadería,Mujeres,638
dic-04,Agricultura y ganadería,Mujeres,902.4
ene-05,Agricultura y ganadería,Mujeres,698.1
feb-05,Agricultura y ganadería,Mujeres,742.3
mar-05,Agricultura y ganadería,Mujeres,767.8
abr-05,Agricultura y ganadería,Mujeres,714.2
may-05,Agricultura y ganadería,Mujeres,738.2
jun-05,Agricultura y ganadería,Mujeres,942.6
jul-05,Agricultura y ganadería,Mujeres,749.7
ago-05,Agricultura y ganadería,Mujeres,779.5
sep-05,Agricultura y ganadería,Mujeres,769
oct-05,Agricultura y ganadería,Mujeres,779.9
nov-05,Agricultura y ganadería,Mujeres,782.6
dic-05,Agricultura y ganadería,Mujeres,1069.3
ene-06,Agricultura y ganadería,Mujeres,824.5
feb-06,Agricultura y ganadería,Mujeres,904.9
mar-06,Agricultura y ganadería,Mujeres,881
abr-06,Agricultura y ganadería,Mujeres,826.1
may-06,Agricultura y ganadería,Mujeres,885.8
jun-06,Agricultura y ganadería,Mujeres,1186.9
jul-06,Agricultura y ganadería,Mujeres,897.5
ago-06,Agricultura y ganadería,Mujeres,935.2
sep-06,Agricultura y ganadería,Mujeres,914.9
oct-06,Agricultura y ganadería,Mujeres,870.2
nov-06,Agricultura y ganadería,Mujeres,884.9
dic-06,Agricultura y ganadería,Mujeres,1260.3
ene-07,Agricultura y ganadería,Mujeres,1013.9
feb-07,Agricultura y ganadería,Mujeres,1058.1
mar-07,Agricultura y ganadería,Mujeres,1067.7
abr-07,Agricultura y ganadería,Mujeres,977.2
may-07,Agricultura y ganadería,Mujeres,1018.9
jun-07,Agricultura y ganadería,Mujeres,1407.2
jul-07,Agricultura y ganadería,Mujeres,1059.6
ago-07,Agricultura y ganadería,Mujeres,1092.1
sep-07,Agricultura y ganadería,Mujeres,1121.9
oct-07,Agricultura y ganadería,Mujeres,1052.8
nov-07,Agricultura y ganadería,Mujeres,1073.9
dic-07,Agricultura y ganadería,Mujeres,1535.8
ene-08,Agricultura y ganadería,Mujeres,1232.7
feb-08,Agricultura y ganadería,Mujeres,1353.8
mar-08,Agricultura y ganadería,Mujeres,1339.9
abr-08,Agricultura y ganadería,Mujeres,1304.1
may-08,Agricultura y ganadería,Mujeres,1324.8
jun-08,Agricultura y ganadería,Mujeres,1776.6
jul-08,Agricultura y ganadería,Mujeres,1372.7
ago-08,Agricultura y ganadería,Mujeres,1466.1
sep-08,Agricultura y ganadería,Mujeres,1512
oct-08,Agricultura y ganadería,Mujeres,1330.3
nov-08,Agricultura y ganadería,Mujeres,1340.3
dic-08,Agricultura y ganadería,Mujeres,1983.2
ene-09,Agricultura y ganadería,Mujeres,1484.6
feb-09,Agricultura y ganadería,Mujeres,1724.2
mar-09,Agricultura y ganadería,Mujeres,1696.6
abr-09,Agricultura y ganadería,Mujeres,1584.5
may-09,Agricultura y ganadería,Mujeres,1619.7
jun-09,Agricultura y ganadería,Mujeres,2254.7
jul-09,Agricultura y ganadería,Mujeres,1668.4
ago-09,Agricultura y ganadería,Mujeres,1700.5
sep-09,Agricultura y ganadería,Mujeres,1678.8
oct-09,Agricultura y ganadería,Mujeres,1496.8
nov-09,Agricultura y ganadería,Mujeres,1488.1
dic-09,Agricultura y ganadería,Mujeres,2378.3
ene-10,Agricultura y ganadería,Mujeres,1802.8
feb-10,Agricultura y ganadería,Mujeres,2006.7
mar-10,Agricultura y ganadería,Mujeres,2065.2
abr-10,Agricultura y ganadería,Mujeres,1926.4
may-10,Agricultura y ganadería,Mujeres,1970.2
jun-10,Agricultura y ganadería,Mujeres,2917.5
jul-10,Agricultura y ganadería,Mujeres,2153.5
ago-10,Agricultura y ganadería,Mujeres,2179.8
sep-10,Agricultura y ganadería,Mujeres,2303.1
oct-10,Agricultura y ganadería,Mujeres,2135.2
nov-10,Agricultura y ganadería,Mujeres,2162.9
dic-10,Agricultura y ganadería,Mujeres,3128.3
ene-11,Agricultura y ganadería,Mujeres,2328.5
feb-11,Agricultura y ganadería,Mujeres,2541.7
mar-11,Agricultura y ganadería,Mujeres,2651.3
abr-11,Agricultura y ganadería,Mujeres,2519
may-11,Agricultura y ganadería,Mujeres,2633.5
jun-11,Agricultura y ganadería,Mujeres,3822.4
jul-11,Agricultura y ganadería,Mujeres,2878.5
ago-11,Agricultura y ganadería,Mujeres,2926.3
sep-11,Agricultura y ganadería,Mujeres,3091.4
oct-11,Agricultura y ganadería,Mujeres,2769.5
nov-11,Agricultura y ganadería,Mujeres,2993.9
dic-11,Agricultura y ganadería,Mujeres,4243.5
ene-12,Agricultura y ganadería,Mujeres,3146
feb-12,Agricultura y ganadería,Mujeres,3381.9
mar-12,Agricultura y ganadería,Mujeres,3439.8
abr-12,Agricultura y ganadería,Mujeres,3388.6
may-12,Agricultura y ganadería,Mujeres,3583.6
jun-12,Agricultura y ganadería,Mujeres,5191.2
jul-12,Agricultura y ganadería,Mujeres,3821.6
ago-12,Agricultura y ganadería,Mujeres,3832.9
sep-12,Agricultura y ganadería,Mujeres,3893.7
oct-12,Agricultura y ganadería,Mujeres,3616.8
nov-12,Agricultura y ganadería,Mujeres,3783.1
dic-12,Agricultura y ganadería,Mujeres,5481.8
ene-13,Agricultura y ganadería,Mujeres,4106.3
feb-13,Agricultura y ganadería,Mujeres,4362.7
mar-13,Agricultura y ganadería,Mujeres,4298.2
abr-13,Agricultura y ganadería,Mujeres,4208.4
may-13,Agricultura y ganadería,Mujeres,4545.9
jun-13,Agricultura y ganadería,Mujeres,6488.7
jul-13,Agricultura y ganadería,Mujeres,4667.1
ago-13,Agricultura y ganadería,Mujeres,4700.9
sep-13,Agricultura y ganadería,Mujeres,4845.5
oct-13,Agricultura y ganadería,Mujeres,4641.4
nov-13,Agricultura y ganadería,Mujeres,4854.4
dic-13,Agricultura y ganadería,Mujeres,6977.9
ene-14,Agricultura y ganadería,Mujeres,5112
feb-14,Agricultura y ganadería,Mujeres,5457.2
mar-14,Agricultura y ganadería,Mujeres,5480.2
abr-14,Agricultura y ganadería,Mujeres,5625
may-14,Agricultura y ganadería,Mujeres,6042.5
jun-14,Agricultura y ganadería,Mujeres,8457.3
jul-14,Agricultura y ganadería,Mujeres,6335.9
ago-14,Agricultura y ganadería,Mujeres,6261.8
sep-14,Agricultura y ganadería,Mujeres,6056.9
oct-14,Agricultura y ganadería,Mujeres,6062
nov-14,Agricultura y ganadería,Mujeres,6385.5
dic-14,Agricultura y ganadería,Mujeres,9023.6
ene-15,Agricultura y ganadería,Mujeres,6578.3
feb-15,Agricultura y ganadería,Mujeres,7013.1
mar-15,Agricultura y ganadería,Mujeres,7059
abr-15,Agricultura y ganadería,Mujeres,7194.7
may-15,Agricultura y ganadería,Mujeres,8017.7
jun-15,Agricultura y ganadería,Mujeres,11377.7
jul-15,Agricultura y ganadería,Mujeres,8428.3
ago-15,Agricultura y ganadería,Mujeres,8030.3
sep-15,Agricultura y ganadería,Mujeres,8407
oct-15,Agricultura y ganadería,Mujeres,7998.1
nov-15,Agricultura y ganadería,Mujeres,8247.8
dic-15,Agricultura y ganadería,Mujeres,11880
ene-16,Agricultura y ganadería,Mujeres,8690
feb-16,Agricultura y ganadería,Mujeres,9329.6
mar-16,Agricultura y ganadería,Mujeres,9396.2
abr-16,Agricultura y ganadería,Mujeres,9829.6
may-16,Agricultura y ganadería,Mujeres,10412.2
jun-16,Agricultura y ganadería,Mujeres,14797.3
jul-16,Agricultura y ganadería,Mujeres,10751
ago-16,Agricultura y ganadería,Mujeres,10936.3
sep-16,Agricultura y ganadería,Mujeres,10664.3
oct-16,Agricultura y ganadería,Mujeres,10630.7
nov-16,Agricultura y ganadería,Mujeres,10585.3
dic-16,Agricultura y ganadería,Mujeres,15897
ene-17,Agricultura y ganadería,Mujeres,11890.9
feb-17,Agricultura y ganadería,Mujeres,12134.7
mar-17,Agricultura y ganadería,Mujeres,12474.7
abr-17,Agricultura y ganadería,Mujeres,12986.4
may-17,Agricultura y ganadería,Mujeres,13474
jun-17,Agricultura y ganadería,Mujeres,19138.3
jul-17,Agricultura y ganadería,Mujeres,13953.2
ago-17,Agricultura y ganadería,Mujeres,13963.6
sep-17,Agricultura y ganadería,Mujeres,13623.8
oct-17,Agricultura y ganadería,Mujeres,14414.7
nov-17,Agricultura y ganadería,Mujeres,13660.2
dic-17,Agricultura y ganadería,Mujeres,20006
ene-18,Agricultura y ganadería,Mujeres,14916.5
feb-18,Agricultura y ganadería,Mujeres,15567.1
mar-18,Agricultura y ganadería,Mujeres,16050.5
abr-18,Agricultura y ganadería,Mujeres,16415.8
may-18,Agricultura y ganadería,Mujeres,16772.9
jun-18,Agricultura y ganadería,Mujeres,24028.7
jul-18,Agricultura y ganadería,Mujeres,17321.7
ago-18,Agricultura y ganadería,Mujeres,17563.7
sep-18,Agricultura y ganadería,Mujeres,19037.9
oct-18,Agricultura y ganadería,Mujeres,17759.1
nov-18,Agricultura y ganadería,Mujeres,18142.1
dic-18,Agricultura y ganadería,Mujeres,26554.8
ene-19,Agricultura y ganadería,Mujeres,20912.5
feb-19,Agricultura y ganadería,Mujeres,21506.6
mar-19,Agricultura y ganadería,Mujeres,23365.6
abr-19,Agricultura y ganadería,Mujeres,22910.6
may-19,Agricultura y ganadería,Mujeres,24284.2
jun-19,Agricultura y ganadería,Mujeres,34488.5
jul-19,Agricultura y ganadería,Mujeres,25547.1
ago-19,Agricultura y ganadería,Mujeres,26103.5
sep-19,Agricultura y ganadería,Mujeres,27200.2
oct-19,Agricultura y ganadería,Mujeres,27525.9
nov-19,Agricultura y ganadería,Mujeres,27276.8
dic-19,Agricultura y ganadería,Mujeres,40147
ene-20,Agricultura y ganadería,Mujeres,31271.1
feb-20,Agricultura y ganadería,Mujeres,33636
mar-20,Agricultura y ganadería,Mujeres,35072.2
abr-20,Agricultura y ganadería,Mujeres,36226.3
may-20,Agricultura y ganadería,Mujeres,37712.1
jun-20,Agricultura y ganadería,Mujeres,53511.9
jul-20,Agricultura y ganadería,Mujeres,38989
ago-20,Agricultura y ganadería,Mujeres,37852.5
sep-20,Agricultura y ganadería,Mujeres,40081.7
oct-20,Agricultura y ganadería,Mujeres,42199.8
nov-20,Agricultura y ganadería,Mujeres,41100.1
dic-20,Agricultura y ganadería,Mujeres,60489.1
ene-21,Agricultura y ganadería,Mujeres,46008.8
feb-21,Agricultura y ganadería,Mujeres,48411.4
mar-21,Agricultura y ganadería,Mujeres,49655.1
abr-21,Agricultura y ganadería,Mujeres,49589.5
may-21,Agricultura y ganadería,Mujeres,52038.1
jun-21,Agricultura y ganadería,Mujeres,74903.6
jul-21,Agricultura y ganadería,Mujeres,55801.1
ago-21,Agricultura y ganadería,Mujeres,57785.9
sep-21,Agricultura y ganadería,Mujeres,60860.2
oct-21,Agricultura y ganadería,Mujeres,62868.2
nov-21,Agricultura y ganadería,Mujeres,63944
dic-21,Agricultura y ganadería,Mujeres,90623.1
ene-22,Agricultura y ganadería,Mujeres,72493.5
feb-22,Agricultura y ganadería,Mujeres,72995.2
mar-22,Agricultura y ganadería,Mujeres,80438.3
abr-22,Agricultura y ganadería,Mujeres,81737.3
may-22,Agricultura y ganadería,Mujeres,87612.6
jun-22,Agricultura y ganadería,Mujeres,126568.1
jul-22,Agricultura y ganadería,Mujeres,98767.2
ago-22,Agricultura y ganadería,Mujeres,107444.6
sep-22,Agricultura y ganadería,Mujeres,112461.2
oct-22,Agricultura y ganadería,Mujeres,119366
ene-96,nan,Varones,399.8
feb-96,nan,Varones,398.1
mar-96,nan,Varones,393.3
abr-96,nan,Varones,394.6
may-96,nan,Varones,389.8
jun-96,nan,Varones,550.2
jul-96,nan,Varones,391.9
ago-96,nan,Varones,391
sep-96,nan,Varones,387.6
oct-96,nan,Varones,392.7
nov-96,nan,Varones,391.1
dic-96,nan,Varones,556
ene-97,nan,Varones,406.8
feb-97,nan,Varones,406.4
mar-97,nan,Varones,403.7
abr-97,nan,Varones,401.5
may-97,nan,Varones,395
jun-97,nan,Varones,563
jul-97,nan,Varones,399.2
ago-97,nan,Varones,396
sep-97,nan,Varones,400.2
oct-97,nan,Varones,405.2
nov-97,nan,Varones,399.3
dic-97,nan,Varones,564
ene-98,nan,Varones,414
feb-98,nan,Varones,411.8
mar-98,nan,Varones,421.2
abr-98,nan,Varones,404.7
may-98,nan,Varones,400.8
jun-98,nan,Varones,573.8
jul-98,nan,Varones,400.4
ago-98,nan,Varones,403.1
sep-98,nan,Varones,405.6
oct-98,nan,Varones,408.2
nov-98,nan,Varones,401.3
dic-98,nan,Varones,573.6
ene-99,nan,Varones,413.7
feb-99,nan,Varones,415.6
mar-99,nan,Varones,420
abr-99,nan,Varones,410.7
may-99,nan,Varones,402.8
jun-99,nan,Varones,582.8
jul-99,nan,Varones,406.4
ago-99,nan,Varones,406.1
sep-99,nan,Varones,402.4
oct-99,nan,Varones,406.8
nov-99,nan,Varones,399.7
dic-99,nan,Varones,570.1
ene-00,nan,Varones,406.9
feb-00,nan,Varones,408.6
mar-00,nan,Varones,408.4
abr-00,nan,Varones,393.1
may-00,nan,Varones,393.4
jun-00,nan,Varones,557.2
jul-00,nan,Varones,391.1
ago-00,nan,Varones,394.4
sep-00,nan,Varones,388.8
oct-00,nan,Varones,398
nov-00,nan,Varones,389.7
dic-00,nan,Varones,553.5
ene-01,nan,Varones,398.6
feb-01,nan,Varones,404.6
mar-01,nan,Varones,400.4
abr-01,nan,Varones,397.3
may-01,nan,Varones,388.4
jun-01,nan,Varones,545.9
jul-01,nan,Varones,389.9
ago-01,nan,Varones,390.9
sep-01,nan,Varones,384.4
oct-01,nan,Varones,390.9
nov-01,nan,Varones,390
dic-01,nan,Varones,556.3
ene-02,nan,Varones,403.8
feb-02,nan,Varones,410.8
mar-02,nan,Varones,402.2
abr-02,nan,Varones,397.1
may-02,nan,Varones,396.9
jun-02,nan,Varones,561.5
jul-02,nan,Varones,412.1
ago-02,nan,Varones,432.1
sep-02,nan,Varones,435.6
oct-02,nan,Varones,450.6
nov-02,nan,Varones,452.2
dic-02,nan,Varones,637.4
ene-03,nan,Varones,486.4
feb-03,nan,Varones,507.6
mar-03,nan,Varones,502.8
abr-03,nan,Varones,493.4
may-03,nan,Varones,500.4
jun-03,nan,Varones,721.8
jul-03,nan,Varones,591.2
ago-03,nan,Varones,589.5
sep-03,nan,Varones,605.4
oct-03,nan,Varones,619.8
nov-03,nan,Varones,613.4
dic-03,nan,Varones,877.5
ene-04,nan,Varones,640.8
feb-04,nan,Varones,657.1
mar-04,nan,Varones,675.1
abr-04,nan,Varones,655.3
may-04,nan,Varones,648.9
jun-04,nan,Varones,912.4
jul-04,nan,Varones,657.9
ago-04,nan,Varones,657.3
sep-04,nan,Varones,663.7
oct-04,nan,Varones,665
nov-04,nan,Varones,673.5
dic-04,nan,Varones,972.9
ene-05,nan,Varones,712.4
feb-05,nan,Varones,716.5
mar-05,nan,Varones,720
abr-05,nan,Varones,705.2
may-05,nan,Varones,707
jun-05,nan,Varones,971.8
jul-05,nan,Varones,729.6
ago-05,nan,Varones,743.3
sep-05,nan,Varones,734.5
oct-05,nan,Varones,813.2
nov-05,nan,Varones,810.6
dic-05,nan,Varones,1140.9
ene-06,nan,Varones,830.9
feb-06,nan,Varones,833.1
mar-06,nan,Varones,835.3
abr-06,nan,Varones,819.8
may-06,nan,Varones,882.5
jun-06,nan,Varones,1254.7
jul-06,nan,Varones,921.7
ago-06,nan,Varones,934.4
sep-06,nan,Varones,927.2
oct-06,nan,Varones,952.5
nov-06,nan,Varones,968.4
dic-06,nan,Varones,1397
ene-07,nan,Varones,1024.8
feb-07,nan,Varones,1019.5
mar-07,nan,Varones,1023.3
abr-07,nan,Varones,1018.5
may-07,nan,Varones,1030.4
jun-07,nan,Varones,1447.3
jul-07,nan,Varones,1062.2
ago-07,nan,Varones,1080.2
sep-07,nan,Varones,1077.4
oct-07,nan,Varones,1229.2
nov-07,nan,Varones,1209
dic-07,nan,Varones,1796.2
ene-08,nan,Varones,1325.4
feb-08,nan,Varones,1333.3
mar-08,nan,Varones,1324.9
abr-08,nan,Varones,1342.2
may-08,nan,Varones,1342.2
jun-08,nan,Varones,1889.8
jul-08,nan,Varones,1405.4
ago-08,nan,Varones,1552.9
sep-08,nan,Varones,1616.4
oct-08,nan,Varones,1588.1
nov-08,nan,Varones,1598.6
dic-08,nan,Varones,2336.8
ene-09,nan,Varones,1699.1
feb-09,nan,Varones,1700.4
mar-09,nan,Varones,1672.8
abr-09,nan,Varones,1666
may-09,nan,Varones,1656.9
jun-09,nan,Varones,2393.3
jul-09,nan,Varones,1705
ago-09,nan,Varones,1706.6
sep-09,nan,Varones,1698
oct-09,nan,Varones,1697.1
nov-09,nan,Varones,1717.6
dic-09,nan,Varones,2834.1
ene-10,nan,Varones,2005.7
feb-10,nan,Varones,2013.2
mar-10,nan,Varones,2018.4
abr-10,nan,Varones,2012.8
may-10,nan,Varones,2042.8
jun-10,nan,Varones,2949.7
jul-10,nan,Varones,2133.9
ago-10,nan,Varones,2155.1
sep-10,nan,Varones,2398.3
oct-10,nan,Varones,2429.7
nov-10,nan,Varones,2488.1
dic-10,nan,Varones,3609.4
ene-11,nan,Varones,2591.1
feb-11,nan,Varones,2590.4
mar-11,nan,Varones,2611.4
abr-11,nan,Varones,2635.5
may-11,nan,Varones,2685.2
jun-11,nan,Varones,3809.4
jul-11,nan,Varones,2794.7
ago-11,nan,Varones,2839.1
sep-11,nan,Varones,2899.2
oct-11,nan,Varones,2870.7
nov-11,nan,Varones,3578.9
dic-11,nan,Varones,4762.6
ene-12,nan,Varones,3399.1
feb-12,nan,Varones,3430.1
mar-12,nan,Varones,3452.3
abr-12,nan,Varones,3432.3
may-12,nan,Varones,3492.2
jun-12,nan,Varones,4999.3
jul-12,nan,Varones,3612.3
ago-12,nan,Varones,3654.3
sep-12,nan,Varones,3687.2
oct-12,nan,Varones,3757.9
nov-12,nan,Varones,4209.8
dic-12,nan,Varones,6037.4
ene-13,nan,Varones,4409.5
feb-13,nan,Varones,4379.5
mar-13,nan,Varones,4295.4
abr-13,nan,Varones,4355.7
may-13,nan,Varones,4486.2
jun-13,nan,Varones,6401.4
jul-13,nan,Varones,4568.7
ago-13,nan,Varones,4615
sep-13,nan,Varones,4661
oct-13,nan,Varones,4851.2
nov-13,nan,Varones,5191.4
dic-13,nan,Varones,7411.2
ene-14,nan,Varones,5522.3
feb-14,nan,Varones,5499.1
mar-14,nan,Varones,5510.2
abr-14,nan,Varones,5570.8
may-14,nan,Varones,5644.3
jun-14,nan,Varones,7972.5
jul-14,nan,Varones,5773
ago-14,nan,Varones,5865
sep-14,nan,Varones,5870
oct-14,nan,Varones,6373.2
nov-14,nan,Varones,6901.1
dic-14,nan,Varones,10069.1
ene-15,nan,Varones,7281.1
feb-15,nan,Varones,7214.9
mar-15,nan,Varones,7162.2
abr-15,nan,Varones,7327.7
may-15,nan,Varones,7591.5
jun-15,nan,Varones,10737
jul-15,nan,Varones,7739.6
ago-15,nan,Varones,7651.8
sep-15,nan,Varones,7873.4
oct-15,nan,Varones,8110.2
nov-15,nan,Varones,9088.5
dic-15,nan,Varones,13100.3
ene-16,nan,Varones,9378.1
feb-16,nan,Varones,9472.7
mar-16,nan,Varones,9314.2
abr-16,nan,Varones,9545.3
may-16,nan,Varones,9794.8
jun-16,nan,Varones,13911.2
jul-16,nan,Varones,10204.6
ago-16,nan,Varones,11382.6
sep-16,nan,Varones,11256
oct-16,nan,Varones,11896.2
nov-16,nan,Varones,12074.6
dic-16,nan,Varones,18417.2
ene-17,nan,Varones,13022.6
feb-17,nan,Varones,12665.5
mar-17,nan,Varones,12613.9
abr-17,nan,Varones,12769.9
may-17,nan,Varones,13002.5
jun-17,nan,Varones,18366.8
jul-17,nan,Varones,13234.4
ago-17,nan,Varones,13508.5
sep-17,nan,Varones,13506.4
oct-17,nan,Varones,16981
nov-17,nan,Varones,15396.3
dic-17,nan,Varones,23011.9
ene-18,nan,Varones,16267.7
feb-18,nan,Varones,16087.7
mar-18,nan,Varones,16069.3
abr-18,nan,Varones,16102.8
may-18,nan,Varones,16142.3
jun-18,nan,Varones,23182.8
jul-18,nan,Varones,16707
ago-18,nan,Varones,17062.6
sep-18,nan,Varones,20034.1
oct-18,nan,Varones,19612
nov-18,nan,Varones,20207.1
dic-18,nan,Varones,29821.8
ene-19,nan,Varones,22121.3
feb-19,nan,Varones,21404.8
mar-19,nan,Varones,23714.4
abr-19,nan,Varones,23144.3
may-19,nan,Varones,23673
jun-19,nan,Varones,33765.7
jul-19,nan,Varones,24839.5
ago-19,nan,Varones,27237.8
sep-19,nan,Varones,28522.5
oct-19,nan,Varones,30648.6
nov-19,nan,Varones,30527.2
dic-19,nan,Varones,44324.3
ene-20,nan,Varones,32328.2
feb-20,nan,Varones,35084.8
mar-20,nan,Varones,35646.2
abr-20,nan,Varones,36757.1
may-20,nan,Varones,37790.9
jun-20,nan,Varones,54034.8
jul-20,nan,Varones,39224.8
ago-20,nan,Varones,39220.9
sep-20,nan,Varones,42273
oct-20,nan,Varones,46594.5
nov-20,nan,Varones,46351.5
dic-20,nan,Varones,68366.8
ene-21,nan,Varones,50029
feb-21,nan,Varones,50694
mar-21,nan,Varones,49739.4
abr-21,nan,Varones,49982.6
may-21,nan,Varones,51178.1
jun-21,nan,Varones,73315.8
jul-21,nan,Varones,54317.5
ago-21,nan,Varones,61531
sep-21,nan,Varones,63570.3
oct-21,nan,Varones,69602.6
nov-21,nan,Varones,70583.7
dic-21,nan,Varones,103794.4
ene-22,nan,Varones,79419.3
feb-22,nan,Varones,74195
mar-22,nan,Varones,78941.9
abr-22,nan,Varones,79799.6
may-22,nan,Varones,82911.2
jun-22,nan,Varones,120292.5
jul-22,nan,Varones,96187.4
ago-22,nan,Varones,108682.9
sep-22,nan,Varones,113052.3
oct-22,nan,Varones,124300.8
ene-96,"Silvicultura, extracción de madera",Mujeres,426.2
feb-96,"Silvicultura, extracción de madera",Mujeres,416
mar-96,"Silvicultura, extracción de madera",Mujeres,416.5
abr-96,"Silvicultura, extracción de madera",Mujeres,396.7
may-96,"Silvicultura, extracción de madera",Mujeres,411.2
jun-96,"Silvicultura, extracción de madera",Mujeres,549.5
jul-96,"Silvicultura, extracción de madera",Mujeres,392.8
ago-96,"Silvicultura, extracción de madera",Mujeres,394.2
sep-96,"Silvicultura, extracción de madera",Mujeres,396.1
